,genome_id,genome_name,taxon_id,antibiotic,resistant_phenotype,measurement,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_method_version,laboratory_typing_platform,vendor,testing_standard,testing_standard_year,source
93543,562.22654,Escherichia coli O13/O135:H4 strain ECO0241,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93562,562.22667,Escherichia coli O13/O135:H4 strain ECO0255,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93581,562.22678,Escherichia coli O13/O135:H4 strain ECO0268,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93600,562.2274,Escherichia coli O13/O135:H4 strain ECO0330,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93619,562.22795,Escherichia coli O13/O135:H4 strain ECO0393,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93638,562.22823,Escherichia coli O13/O135:H4 strain ECO0424,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93835,562.22645,Escherichia coli O134 strain ECO0232,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93854,562.22731,Escherichia coli O134:H31 strain ECO0319,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93913,562.22589,Escherichia coli O134:NA strain ECO0164,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93962,562.22628,Escherichia coli O148:H30 strain ECO0214,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94011,562.22614,Escherichia coli O159:H21 strain ECO0190,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94048,562.22586,Escherichia coli O15:H1 strain ECO0161,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94067,562.22765,Escherichia coli O15:H1 strain ECO0356,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94336,562.22527,Escherichia coli O15:H12 strain ECO0101,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94355,562.22583,Escherichia coli O15:H12 strain ECO0158,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94442,562.22652,Escherichia coli O15:H18 strain ECO0239,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94461,562.22749,Escherichia coli O15:H18 strain ECO0339,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94590,562.22875,Escherichia coli O15:H4 strain ECO0364,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94659,562.22431,Escherichia coli O162:H10 strain ECO0004,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94718,562.22429,Escherichia coli O162:H9 strain ECO0002,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94777,562.22436,Escherichia coli O166:H15 strain ECO0009,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94796,562.22521,Escherichia coli O166:H15 strain ECO0095,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94865,562.22511,Escherichia coli O16:H48 strain ECO0084,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94884,562.22445,Escherichia coli O16:H5 strain ECO0018,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94903,562.22543,Escherichia coli O16:H5 strain ECO0118,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94922,562.22612,Escherichia coli O16:H5 strain ECO0188,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94941,562.22646,Escherichia coli O16:H5 strain ECO0233,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94960,562.22685,Escherichia coli O16:H5 strain ECO0275,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94979,562.22691,Escherichia coli O16:H5 strain ECO0281,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
94998,562.22755,Escherichia coli O16:H5 strain ECO0346,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95017,562.22876,Escherichia coli O16:H5 strain ECO0366,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95036,562.22778,Escherichia coli O16:H5 strain ECO0372,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95055,562.22814,Escherichia coli O16:H5 strain ECO0413,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95074,562.22815,Escherichia coli O16:H5 strain ECO0414,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95183,562.22524,Escherichia coli O16:H6 strain ECO0098,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95202,562.22532,Escherichia coli O16:H6 strain ECO0107,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95221,562.2257,Escherichia coli O16:H6 strain ECO0145,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95240,562.22627,Escherichia coli O16:H6 strain ECO0212,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95259,562.22872,Escherichia coli O16:H6 strain ECO0220,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95278,562.22825,Escherichia coli O16:H6 strain ECO0425,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95457,562.22779,Escherichia coli O17 strain ECO0303,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95504,562.22435,Escherichia coli O17:H18 strain ECO0008,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95523,562.22461,Escherichia coli O17:H18 strain ECO0034,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95542,562.22471,Escherichia coli O17:H18 strain ECO0043,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95561,562.22473,Escherichia coli O17:H18 strain ECO0046,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95580,562.22484,Escherichia coli O17:H18 strain ECO0057,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95599,562.22485,Escherichia coli O17:H18 strain ECO0058,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95618,562.22515,Escherichia coli O17:H18 strain ECO0089,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95637,562.22544,Escherichia coli O17:H18 strain ECO0119,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95656,562.22546,Escherichia coli O17:H18 strain ECO0121,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95675,562.22548,Escherichia coli O17:H18 strain ECO0123,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95694,562.22602,Escherichia coli O17:H18 strain ECO0178,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95713,562.23854,Escherichia coli O17:H18 strain ECO0199,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95732,562.22619,Escherichia coli O17:H18 strain ECO0204,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95751,562.22636,Escherichia coli O17:H18 strain ECO0223,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95770,562.22672,Escherichia coli O17:H18 strain ECO0260,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95789,562.22676,Escherichia coli O17:H18 strain ECO0265,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95808,562.22688,Escherichia coli O17:H18 strain ECO0278,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95827,562.22693,Escherichia coli O17:H18 strain ECO0284,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95846,562.22735,Escherichia coli O17:H18 strain ECO0324,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95865,562.22772,Escherichia coli O17:H18 strain ECO0363,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95884,562.22785,Escherichia coli O17:H18 strain ECO0383,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95903,562.22786,Escherichia coli O17:H18 strain ECO0384,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
95922,562.2288,Escherichia coli O17:H18 strain ECO0428,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96451,562.2247,Escherichia coli O182:H7 strain ECO0042,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96480,562.22661,Escherichia coli O185:H10 strain ECO0251,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96509,562.22474,Escherichia coli O18:H1 strain ECO0047,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96528,562.22489,Escherichia coli O18:H1 strain ECO0062,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96547,562.22506,Escherichia coli O18:H1 strain ECO0079,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96566,562.22609,Escherichia coli O18:H1 strain ECO0185,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96775,562.2251,Escherichia coli O18:H5 strain ECO0083,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96794,562.22517,Escherichia coli O18:H5 strain ECO0091,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96813,562.22698,Escherichia coli O18:H5 strain ECO0288,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96832,562.22752,Escherichia coli O18:H5 strain ECO0343,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96941,562.22563,Escherichia coli O18:H7 strain ECO0138,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96960,562.22576,Escherichia coli O18:H7 strain ECO0151,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96979,562.22703,Escherichia coli O18:H7 strain ECO0293,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
96998,562.22726,Escherichia coli O18:H7 strain ECO0313,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97017,562.22753,Escherichia coli O18:H7 strain ECO0344,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97036,562.22793,Escherichia coli O18:H7 strain ECO0390,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97055,562.22801,Escherichia coli O18:H7 strain ECO0399,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97254,562.22459,Escherichia coli O18ab:H14 strain ECO0032,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97272,562.22468,Escherichia coli O18ac:H1 strain ECO0041,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97301,562.22479,Escherichia coli O18ac:H4 strain ECO0052,562.0,cefepime,Resistant,,,,,,,VITEK 2,BioMerieux,,,
97320,562.22567,Escherichia coli O19:H4 strain ECO0142,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97339,562.22673,Escherichia coli O1:H1 strain ECO0261,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97408,562.22618,Escherichia coli O1:H25 strain ECO0203,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
97447,562.22457,Escherichia coli O1:H6 strain ECO0031,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97466,562.22481,Escherichia coli O1:H6 strain ECO0054,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
97485,562.22708,Escherichia coli O1:H6 strain ECO0193,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97564,562.22433,Escherichia coli O1:H7 strain ECO0006,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97583,562.22437,Escherichia coli O1:H7 strain ECO0010,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97602,562.22447,Escherichia coli O1:H7 strain ECO0020,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97621,562.22482,Escherichia coli O1:H7 strain ECO0055,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97640,562.2249,Escherichia coli O1:H7 strain ECO0063,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97659,562.22494,Escherichia coli O1:H7 strain ECO0067,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97678,562.22549,Escherichia coli O1:H7 strain ECO0124,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97697,562.2255,Escherichia coli O1:H7 strain ECO0125,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97716,562.22558,Escherichia coli O1:H7 strain ECO0133,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97735,562.22559,Escherichia coli O1:H7 strain ECO0135,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97754,562.22573,Escherichia coli O1:H7 strain ECO0148,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97773,562.22585,Escherichia coli O1:H7 strain ECO0160,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97792,562.22604,Escherichia coli O1:H7 strain ECO0180,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97811,562.22709,Escherichia coli O1:H7 strain ECO0194,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97830,562.22711,Escherichia coli O1:H7 strain ECO0196,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97849,562.22629,Escherichia coli O1:H7 strain ECO0215,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97868,562.22649,Escherichia coli O1:H7 strain ECO0236,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97887,562.22659,Escherichia coli O1:H7 strain ECO0247,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97906,562.22666,Escherichia coli O1:H7 strain ECO0254,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97925,562.22668,Escherichia coli O1:H7 strain ECO0256,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97944,562.22705,Escherichia coli O1:H7 strain ECO0295,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97963,562.22723,Escherichia coli O1:H7 strain ECO0310,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
97982,562.22729,Escherichia coli O1:H7 strain ECO0316,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98001,562.22732,Escherichia coli O1:H7 strain ECO0320,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98020,562.22736,Escherichia coli O1:H7 strain ECO0326,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98039,562.22803,Escherichia coli O1:H7 strain ECO0401,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98058,562.22804,Escherichia coli O1:H7 strain ECO0402,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98811,562.22817,Escherichia coli O21:H1 strain ECO0416,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98838,562.22633,Escherichia coli O21:H27 strain ECO0219,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98857,562.2272,Escherichia coli O21:H38 strain ECO0307,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98876,562.22495,Escherichia coli O21:H4 strain ECO0068,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98963,562.22746,Escherichia coli O21:H52 strain ECO0336,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
98990,562.2254,Escherichia coli O22:H1 strain ECO0115,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99009,562.22663,Escherichia coli O22:H1 strain ECO0249,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99128,562.22664,Escherichia coli O22:H5 strain ECO0252,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99147,562.2246,Escherichia coli O23:H16 strain ECO0033,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99166,562.22476,Escherichia coli O23:H16 strain ECO0049,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99185,562.22651,Escherichia coli O23:H16 strain ECO0238,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99232,562.22607,Escherichia coli O24:H4 strain ECO0183,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99309,562.22439,Escherichia coli O25:H1 strain ECO0011,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99328,562.22568,Escherichia coli O25:H1 strain ECO0143,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99347,562.22682,Escherichia coli O25:H1 strain ECO0274,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99366,562.22877,Escherichia coli O25:H1 strain ECO0385,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99495,562.22508,Escherichia coli O25:H18 strain ECO0081,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99514,562.22516,Escherichia coli O25:H18 strain ECO0090,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99563,562.22432,Escherichia coli O25:H4 strain ECO0005,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
99582,562.2244,Escherichia coli O25:H4 strain ECO0013,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99601,562.22442,Escherichia coli O25:H4 strain ECO0015,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99620,562.22455,Escherichia coli O25:H4 strain ECO0029,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99639,562.22465,Escherichia coli O25:H4 strain ECO0036,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99658,562.22478,Escherichia coli O25:H4 strain ECO0051,562.0,cefepime,Resistant,,,,,,,VITEK 2,BioMerieux,,,
99677,562.22483,Escherichia coli O25:H4 strain ECO0056,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99696,562.22488,Escherichia coli O25:H4 strain ECO0061,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
99715,562.22491,Escherichia coli O25:H4 strain ECO0066,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99734,562.22499,Escherichia coli O25:H4 strain ECO0072,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99753,562.22514,Escherichia coli O25:H4 strain ECO0087,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99772,562.22518,Escherichia coli O25:H4 strain ECO0092,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99791,562.22536,Escherichia coli O25:H4 strain ECO0111,562.0,cefepime,Resistant,,,,,,,VITEK 2,BioMerieux,,,
99810,562.22539,Escherichia coli O25:H4 strain ECO0114,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99829,562.22541,Escherichia coli O25:H4 strain ECO0116,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
99848,562.22551,Escherichia coli O25:H4 strain ECO0126,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99867,562.22555,Escherichia coli O25:H4 strain ECO0130,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99886,562.22561,Escherichia coli O25:H4 strain ECO0136,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99905,562.22565,Escherichia coli O25:H4 strain ECO0140,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99924,562.22588,Escherichia coli O25:H4 strain ECO0163,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99943,562.22595,Escherichia coli O25:H4 strain ECO0171,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99962,562.22596,Escherichia coli O25:H4 strain ECO0172,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
99981,562.22597,Escherichia coli O25:H4 strain ECO0173,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100000,562.22601,Escherichia coli O25:H4 strain ECO0177,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100019,562.2261,Escherichia coli O25:H4 strain ECO0186,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100038,562.22611,Escherichia coli O25:H4 strain ECO0187,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100057,562.2262,Escherichia coli O25:H4 strain ECO0205,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100076,562.22622,Escherichia coli O25:H4 strain ECO0207,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100095,562.22626,Escherichia coli O25:H4 strain ECO0211,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
